@relation "newsweek_demox"

@attribute attr0 string
@attribute relation {'newsweek', 'demox'}
@attribute class {'ID790', 'ID791', 'ID792', 'ID793', 'ID794', 'ID795', 'ID796', 'ID60', 'ID797', 'ID61', 'ID798', 'ID62', 'ID799', 'msbearth', 'ID63', 'ID64', 'ID65', 'ID66', 'ID67', 'puttputtmoon puttputtparade', 'mariotype', 'ID68', 'ID69', 'chillmanor', 'ID70', 'ID71', 'ID72', 'ID73', 'ID74', 'ID75', 'ID76', 'ID77', 'webworkshop', 'ID78', 'ID79', 'ID80', 'ID81', 'ID82', 'ID83', 'ID84', 'ID85', 'ID86', 'ID87', 'ID88', 'ID89', 'sailormoon', 'pajamasam', 'ID90', 'ID91', 'ID92', 'ID93', 'ID94', 'ID95', 'ID96', 'ID97', 'ID98', 'ID99', 'msbsolar', 'musicace', 'hyperstudio', 'creativewriter', 'greeneggs', 'pirateship', 'puttputtzoo', 'fattybearbday', 'timelapse', 'freddifish2', 'immeen', 'ID100', 'ID101', 'ID102', 'ID103', 'ID104', 'ID105', 'ID106', 'gryphonbricks', 'ID107', 'ID108', 'ID109', 'ID110', 'ID111', 'ID112', 'ID113', 'ID114', 'ID115', 'ID116', 'ID117', 'puttputtparade', 'ID118', 'ID119', 'catz', 'ID200', 'ID120', 'ID201', 'ID121', 'ID202', 'ID122', 'ID203', 'ID123', 'ID204', 'ID124', 'ID205', 'ID125', 'ID206', 'ID126', 'ID207', 'ID127', 'ID208', 'ID128', 'ID209', 'ID129', 'msbrain', 'waldogeo', 'ID210', 'ID130', 'ID211', 'ID131', 'ID212', 'ID132', 'ID213', 'ID133', 'ID214', 'ID134', 'ID215', 'ID135', 'ID216', 'ID136', 'ID217', 'ID137', 'ID218', 'ID138', 'ID219', 'ID139', 'simpsoncartoon', 'ID300', 'ID301', 'ID220', 'ID302', 'ID221', 'ID140', 'ID303', 'ID222', 'ID141', 'ID304', 'ID223', 'ID142', 'ID305', 'ID224', 'ID143', 'ID306', 'ID225', 'ID144', 'ID307', 'ID226', 'ID145', 'ID308', 'ID227', 'ID146', 'ID309', 'ID228', 'ID147', 'ID229', 'ID148', 'ID149', 'seussabc', 'ID310', 'ID230', 'ID311', 'ID150', 'ID231', 'ID312', 'ID151', 'ID232', 'ID313', 'ID152', 'ID233', 'ID314', 'ID153', 'ID234', 'ID315', 'ID154', 'ID235', 'ID316', 'ID155', 'ID236', 'ID317', 'ID156', 'ID237', 'ID318', 'ID157', 'ID238', 'ID319', 'ID158', 'ID239', 'ID159', 'ID400', 'ID320', 'ID401', 'ID240', 'ID321', 'ID402', 'ID160', 'ID241', 'ID322', 'ID403', 'ID161', 'ID242', 'ID323', 'ID404', 'ID162', 'ID243', 'ID324', 'ID405', 'ID163', 'ID244', 'ID325', 'ID406', 'ID164', 'ID245', 'ID326', 'ID407', 'ID165', 'ID246', 'ID327', 'ID408', 'ID166', 'ID247', 'ID328', 'ID409', 'ID167', 'ID248', 'ID329', 'ID168', 'ID249', 'ID169', '3dmovie', 'ID410', 'ID330', 'ID411', 'ID250', 'ID331', 'ID412', 'ID170', 'ID251', 'ID332', 'ID413', 'ID171', 'ID252', 'ID333', 'ID414', 'ID172', 'ID253', 'ID334', 'ID415', 'ID173', 'ID254', 'ID335', 'ID416', 'ID174', 'ID255', 'ID336', 'ID417', 'ID175', 'ID256', 'ID337', 'ID418', 'ID176', 'ID257', 'ID338', 'ID419', 'ID177', 'ID258', 'ID339', 'ID178', 'ID259', 'ID179', 'toyland', 'ID500', 'ID501', 'ID420', 'ID502', 'ID340', 'ID421', 'ID503', 'ID260', 'ID341', 'ID422', 'ID504', 'colorforms', 'ID180', 'ID261', 'ID342', 'ID423', 'ID505', 'ID181', 'ID262', 'ID343', 'ID424', 'ID506', 'ID182', 'ID263', 'ID344', 'ID425', 'ID507', 'ID183', 'ID264', 'ID345', 'ID426', 'ID508', 'ID184', 'ID265', 'ID346', 'ID427', 'ID509', 'ID185', 'ID266', 'ID347', 'ID428', 'ID186', 'ID267', 'ID348', 'ID429', 'ID187', 'ID268', 'ID349', 'ID188', 'ID269', 'ID189', 'ID510', 'ID511', 'ID430', 'ID512', 'ID350', 'ID431', 'ID513', 'ID270', 'ID351', 'ID432', 'ID514', 'ID190', 'ID271', 'ID352', 'ID433', 'ID515', 'ID191', 'ID272', 'ID353', 'ID434', 'ID516', 'ID192', 'ID273', 'ID354', 'ID435', 'ID517', 'ID193', 'ID274', 'ID355', 'ID436', 'ID518', 'ID194', 'ID275', 'ID356', 'ID437', 'ID519', 'ID195', 'ID276', 'ID357', 'ID438', 'ID196', 'ID277', 'ID358', 'ID439', 'ID197', 'ID278', 'ID359', 'ID198', 'ID279', 'msbbody', 'ID199', 'whatsecret', 'msbearth msbdino msbsolar msbrain msbbody', 'ID600', 'ID601', 'ID520', 'freddifishkelp', 'ID602', 'ID521', 'ID440', 'ID603', 'ID522', 'ID360', 'ID441', 'ID604', 'ID523', 'ID280', 'ID361', 'ID442', 'ID605', 'ID524', 'ID281', 'ID362', 'ID443', 'ID606', 'ID525', 'ID282', 'ID363', 'ID444', 'ID607', 'ID526', 'ID283', 'ID364', 'ID445', 'ID608', 'ID527', 'ID284', 'ID365', 'ID446', 'ID609', 'ID528', 'ID285', 'ID366', 'ID447', 'ID529', 'ID286', 'ID367', 'ID448', 'ID287', 'ID368', 'ID449', 'ID288', 'ID369', 'ID289', 'ID610', 'ID611', 'ID530', 'ID612', 'ID531', 'ID450', 'ID613', 'ID532', 'ID370', 'ID451', 'ID614', 'ID533', 'ID290', 'ID371', 'ID452', 'ID615', 'ID534', 'ID291', 'ID372', 'ID453', 'ID616', 'ID535', 'ID292', 'ID373', 'ID454', 'ID617', 'ID536', 'ID293', 'ID374', 'ID455', 'ID618', 'ID537', 'ID294', 'ID375', 'ID456', 'ID619', 'ID538', 'ID295', 'ID376', 'ID457', 'ID539', 'ID296', 'ID377', 'ID458', 'ID297', 'ID378', 'ID459', 'ID298', 'ID379', 'ID299', 'puttputtmoon', 'ID700', 'ID701', 'ID620', 'ID702', 'ID621', 'ID540', 'ID703', 'ID622', 'ID541', 'ID460', 'ID704', 'ID623', 'ID542', 'ID380', 'ID461', 'ID705', 'ID624', 'ID543', 'ID381', 'ID462', 'ID706', 'ID625', 'ID544', 'ID382', 'ID463', 'ID707', 'ID626', 'ID545', 'ID383', 'ID464', 'ID708', 'ID627', 'ID546', 'authursbday', 'ID384', 'ID465', 'ID709', 'ID628', 'ID547', 'ID385', 'ID466', 'ID629', 'ID548', 'ID386', 'ID467', 'ID549', 'ID387', 'ID468', 'ID388', 'ID469', 'ID389', 'magic3d', 'ID710', 'ID711', 'ID630', 'ID712', 'ID631', 'ID550', 'ID713', 'ID632', 'ID551', 'rayman', 'ID470', 'ID714', 'ID633', 'ID552', 'ID390', 'ID471', 'ID715', 'ID634', 'ID553', 'staytooned', 'ID391', 'ID472', 'ID716', 'ID635', 'ID554', 'ID392', 'ID473', 'ID717', 'ID636', 'ID555', 'msbdino', 'ID393', 'ID474', 'ID718', 'ID637', 'ID556', 'ID394', 'ID475', 'ID719', 'ID638', 'ID557', 'ID395', 'ID476', 'ID639', 'ID558', 'ID396', 'ID477', 'ID559', 'ID397', 'ID478', 'ID398', 'ID479', 'ID399', 'superradio', 'ID800', 'ID801', 'ID720', 'ID802', 'ID721', 'ID640', 'ID803', 'ID722', 'ID641', 'ID560', 'ID804', 'ID723', 'ID642', 'ID561', 'ID480', 'ID805', 'ID724', 'ID643', 'ID562', 'ID481', 'ID806', 'ID725', 'ID644', 'ID563', 'ID482', 'ID807', 'ID726', 'ID645', 'ID564', 'ID483', 'ID808', 'ID727', 'ID646', 'ID565', 'ID484', 'ID809', 'ID728', 'ID647', 'ID566', 'ID485', 'ID729', 'ID648', 'ID567', 'ID486', 'ID649', 'ID568', 'ID487', 'ID569', 'ID488', 'ID489', 'monstermaker', 'ID810', 'ID811', 'ID730', 'ID731', 'ID650', 'ID732', 'ID651', 'ID570', 'menlofrog', 'ID733', 'ID652', 'ID571', 'ID490', 'ID734', 'ID653', 'ID572', 'ID491', 'ID735', 'ID654', 'ID573', 'ID492', 'ID736', 'ID655', 'ID574', 'ID493', 'ID737', 'ID656', 'ID575', 'ID494', 'ID738', 'ID657', 'ID576', 'ID495', 'ID739', 'ID658', 'ID577', 'ID496', 'ID659', 'ID578', 'ID497', 'ID579', 'ID498', 'ID499', 'tortoisehare', 'incrediblemachine', 'ID740', 'ID741', 'ID660', 'ID742', 'ID661', 'ID580', 'ID743', 'ID662', 'ID581', 'ID744', 'ID663', 'ID582', 'ID745', 'ID664', 'ID583', 'ID746', 'ID665', 'ID584', 'ID10', 'ID747', 'ID666', 'ID585', 'ID11', 'ID748', 'ID667', 'ID586', 'ID12', 'ID749', 'ID668', 'ID587', 'ID13', 'ID669', 'ID588', 'ID14', 'ID589', 'ID15', 'ID16', 'ID17', 'ID18', 'ID19', 'ID0', 'ID1', 'ID2', 'ID3', 'ID4', 'ID5', 'ID6', 'ID7', 'ID8', 'ID9', 'ID750', 'ID751', 'ID670', 'ID752', 'ID671', 'ID590', 'ID753', 'ID672', 'ID591', 'ID754', 'ID673', 'ID592', 'ID755', 'ID674', 'ID593', 'ID756', 'ID675', 'ID594', 'ID20', 'ID757', 'ID676', 'ID595', 'ID21', 'ID758', 'ID677', 'ID596', 'ID22', 'ID759', 'ID678', 'ID597', 'ID23', 'ID679', 'ID598', 'ID24', 'ID599', 'ID25', 'ID26', 'ID27', 'ID28', 'ID29', 'zurkalaska', 'martycheese', 'zurksafari', 'ID760', 'ID761', 'ID680', 'ID762', 'ID681', 'ID763', 'ID682', 'ID764', 'ID683', 'ID765', 'ID684', 'ID766', 'ID685', 'ID30', 'ID767', 'ID686', 'ID31', 'ID768', 'ID687', 'ID32', 'ID769', 'ID688', 'ID33', 'ID689', 'ID34', 'ID35', 'ID36', 'ID37', 'ID38', 'ID39', 'countfrank', 'ID770', 'ID771', 'ID690', 'ID772', 'ID691', 'ID773', 'ID692', 'ID774', 'ID693', 'ID775', 'ID694', 'ID776', 'ID695', 'ID40', 'ID777', 'ID696', 'ID41', 'ID778', 'ID697', 'ID42', 'ID779', 'ID698', 'dogz', 'ID43', 'ID699', 'ID44', 'ID45', 'ID46', 'ID47', 'ID48', 'ID49', 'magicwardobe', 'ID780', 'ID781', 'ID782', 'ID783', 'ID784', 'ID785', 'ID786', 'ID50', 'ID787', 'ID51', 'ID788', 'ID52', 'ID789', 'ID53', 'ID54', 'ID55', 'ID56', 'ID57', 'ID58', 'ID59', 'lemmings'}

@data
"Print Paks Super Create-A-Book Kit", 'newsweek', 'ID147'
"PrintMaster Gold", 'newsweek', 'ID148'
"PrintPaks Super Magnet Kit", 'newsweek', 'ID149'
"Sailor Moon Colorforms Computer Fun Set", 'newsweek', 'sailormoon'
"SimTunes", 'newsweek', 'ID150'
"Simpsons Cartoon Studio", 'newsweek', 'simpsoncartoon'
"Someone's in the Kitchen!", 'newsweek', 'ID151'
"Song Factory", 'newsweek', 'ID152'
"Sound Toys", 'newsweek', 'ID153'
"Spider-Man Cartoon Maker", 'newsweek', 'ID154'
"Stanley's Sticker Stories", 'newsweek', 'ID155'
"Steven Spielberg's Director's Chair", 'newsweek', 'ID156'
"Storybook Weaver Deluxe", 'newsweek', 'ID157'
"Student Writing Center", 'newsweek', 'ID158'
"Sunny Bunny in \"Who's Talking\"", 'newsweek', 'ID159'
"Super Iron-Ons Kit", 'newsweek', 'ID160'
"The Amazing Writing Machine", 'newsweek', 'ID161'
"The American Girls Premiere", 'newsweek', 'ID162'
"The Print Shop PressWriter", 'newsweek', 'ID163'
"There are Tyrannosaurs Trying on Pants in My Bedroom", 'newsweek', 'ID164'
"Toon Works", 'newsweek', 'ID165'
"Ultimate Family Tree Deluxe", 'newsweek', 'ID166'
"Web Workshop", 'newsweek', 'webworkshop'
"What's My Story?", 'newsweek', 'ID167'
"Widget Workshop", 'newsweek', 'ID168'
"Window Art Kit", 'newsweek', 'ID169'
"Windows Draw 5", 'newsweek', 'ID170'
"Wishbone Print Tricks", 'newsweek', 'ID171'
"Write, Camera, Action!", 'newsweek', 'ID172'
"X-Men Cartoon Maker", 'newsweek', 'ID173'
"A Color Clown Comes to Town", 'newsweek', 'ID174'
"A Passion for Art: Renoir, Cezanne, Matisse and Dr. Barnes", 'newsweek', 'ID175'
"A Purrfect Match", 'newsweek', 'ID176'
"Adi's Comprehensive Learning System", 'newsweek', 'ID177'
"Adventures with Edison", 'newsweek', 'ID178'
"Adventures with Oslo: World of Water", 'newsweek', 'ID179'
"All in One Language Fun!", 'newsweek', 'ID180'
"Alphabet Express", 'newsweek', 'ID181'
"Amazing Animals Activity Pack", 'newsweek', 'ID182'
"Amazing Learning Games with Rayman", 'newsweek', 'rayman'
"Aquazone Desktop Life", 'newsweek', 'ID183'
"Baby-ROM", 'newsweek', 'ID184'
"Backyard Baseball", 'newsweek', 'ID185'
"Big Science Comics", 'newsweek', 'ID186'
"Big Thinkers Kindergarten", 'newsweek', 'ID187'
"Birds and Insects with Professor ROM", 'newsweek', 'ID188'
"Blackbelt Japanese", 'newsweek', 'ID189'
"Book Workshop", 'newsweek', 'ID190'
"Brain Quest Multimedia Series: Grades 4&5;", 'newsweek', 'ID191'
"Cartoon Guide to Physics", 'newsweek', 'ID192'
"Chitty Chitty Bang Bang's Adventure in Tinker Town", 'newsweek', 'ID193'
"Colorful Adventures", 'newsweek', 'ID194'
"Conquest of the New World Deluxe Edition", 'newsweek', 'ID195'
"Countdown", 'newsweek', 'ID196'
"Counting on Frank", 'newsweek', 'countfrank'
"Cousteau's World", 'newsweek', 'ID197'
"Curious George ABC Adventure", 'newsweek', 'ID198'
"Curious George Early Learning Adventure", 'newsweek', 'ID199'
"Cybercrafts: Digital Lab", 'newsweek', 'ID200'
"Deluxe Math Rabbit", 'newsweek', 'ID201'
"DinoMight Baseball", 'newsweek', 'ID202'
"Dinosaur Explorers", 'newsweek', 'ID203'
"Discovering Endangered Wildlife", 'newsweek', 'ID204'
"Dogz, Your Computer Petz", 'newsweek', 'dogz'
"Dr. Seuss' ABC", 'newsweek', 'seussabc'
"Dragon in a Wagon", 'newsweek', 'ID205'
"Dreamland", 'newsweek', 'ID206'
"Eager to Learn", 'newsweek', 'ID207'
"Early Learning Center", 'newsweek', 'ID208'
"Early Math", 'newsweek', 'ID209'
"Eco-Warriors in Space!", 'newsweek', 'ID210'
"Electro Dog's First Reader and Writer", 'newsweek', 'ID211'
"En Marcha", 'newsweek', 'ID212'
"Encyclopedia of Nature", 'newsweek', 'ID213'
"Explorapedia: The World of Nature", 'newsweek', 'ID214'
"Explore Yellowstone", 'newsweek', 'ID215'
"FDR: Franklin Delano Roosevelt", 'newsweek', 'ID216'
"Fatty Bear's Birthday Surprise", 'newsweek', 'fattybearbday'
"Fisher-Price ABCs", 'newsweek', 'ID217'
"Fisher-Price Ready for School", 'newsweek', 'ID218'
"Four Footed Friends", 'newsweek', 'ID219'
"Fraction Attraction", 'newsweek', 'ID220'
"French Your Way 2.0", 'newsweek', 'ID221'
"Fun With Electronics", 'newsweek', 'ID222'
"Fun with a Purpose", 'newsweek', 'ID223'
"GeoMedia", 'newsweek', 'ID224'
"GeoSafari Animals", 'newsweek', 'ID225'
"Get Up Close", 'newsweek', 'ID226'
"Gigglebone Gang World Tour", 'newsweek', 'ID227'
"Grandma Ollie's Morphabet Soup", 'newsweek', 'ID228'
"Gus Goes to Cyberstone Park", 'newsweek', 'ID229'
"Gus Goes to the Kooky Carnival", 'newsweek', 'ID230'
"Gus Goes to the Megarific Museum", 'newsweek', 'ID231'
"Highlights Hidden Pictures Workshop", 'newsweek', 'ID232'
"Hooray for Plants", 'newsweek', 'ID233'
"How Do You Spell Adventure?", 'newsweek', 'ID234'
"How Would You Survive?", 'newsweek', 'ID235'
"I Can Be A Dinosaur Finder", 'newsweek', 'ID236'
"I Can Be An Animal Doctor", 'newsweek', 'ID237'
"Infinity City", 'newsweek', 'ID238'
"Insects", 'newsweek', 'ID239'
"Inside the SAT & ACT '98 Deluxe Edition", 'newsweek', 'ID240'
"Interactive Alphabet", 'newsweek', 'ID241'
"Interactive Math Journey", 'newsweek', 'ID242'
"Interfact: Egyptians", 'newsweek', 'ID243'
"InventorLabs: Transportation", 'newsweek', 'ID244'
"Invisible Universe", 'newsweek', 'ID245'
"Jack's House", 'newsweek', 'ID246'
"Juilliard Music Adventure", 'newsweek', 'ID247'
"JumpStart First Grade", 'newsweek', 'ID248'
"JumpStart Pre-K", 'newsweek', 'ID249'
"JumpStart Preschool", 'newsweek', 'ID250'
"JumpStart Second Grade", 'newsweek', 'ID251'
"JumpStart Toddlers", 'newsweek', 'ID252'
"KidsCulture", 'newsweek', 'ID253'
"Klondike Gold", 'newsweek', 'ID254'
"Lamb Chop Loves Music", 'newsweek', 'ID255'
"Learning About Animals", 'newsweek', 'ID256'
"Let's Learn Letters", 'newsweek', 'ID257'
"Let's Learn Numbers", 'newsweek', 'ID258'
"Let's Learn Shapes & Colors", 'newsweek', 'ID259'
"Let's Learn Spanish", 'newsweek', 'ID260'
"Let's Make A Word", 'newsweek', 'ID261'
"Let's Pretend! Many Lands, Many Playgrounds", 'newsweek', 'ID262'
"Let's Pretend! Our World is a Playground!", 'newsweek', 'ID263'
"Let's Talk", 'newsweek', 'ID264'
"Let's Talk About ME!", 'newsweek', 'ID265'
"Let's Talk English", 'newsweek', 'ID266'
"Logic Quest", 'newsweek', 'ID267'
"Madeline Classroom Companion: 1st and 2nd Grade", 'newsweek', 'ID268'
"Madeline Classroom Companion: Preschool & Kindergarten", 'newsweek', 'ID269'
"Madeline: Thinking Games", 'newsweek', 'ID270'
"Major League Math", 'newsweek', 'ID271'
"Mario Teaches Typing", 'newsweek', 'mariotype'
"Mario Teaches Typing 2", 'newsweek', 'ID272'
"Math Adventure", 'newsweek', 'ID273'
"Math Blaster Mystery: The Great Brain Robbery", 'newsweek', 'ID274'
"Math Blaster: In Search of Spot", 'newsweek', 'ID275'
"Math Heads", 'newsweek', 'ID276'
"Math Majors", 'newsweek', 'ID277'
"Math Munchers Deluxe", 'newsweek', 'ID278'
"MatheMagics", 'newsweek', 'ID279'
"Mavis Beacon Teaches Typing for Kids", 'newsweek', 'ID280'
"Mavis Beacon Teaches Typing--Version 5", 'newsweek', 'ID281'
"McKenzie & Co.", 'newsweek', 'ID282'
"Mega Math Blaster", 'newsweek', 'ID283'
"Merriam-Webster's Vocabulary Builder", 'newsweek', 'ID284'
"Microbe Zoo", 'newsweek', 'ID285'
"Microsoft Plus! For Kids", 'newsweek', 'ID286'
"Mission Code: Millenium", 'newsweek', 'ID287'
"Money Town", 'newsweek', 'ID288'
"More Bugs in Boxes", 'newsweek', 'ID289'
"Morgan's Trivia Machine", 'newsweek', 'ID290'
"Mr. Drumstix Music Studio", 'newsweek', 'ID291'
"Multimedia Bird Book", 'newsweek', 'ID292'
"Multimedia Bug Book", 'newsweek', 'ID293'
"Multisensory Kindergarten", 'newsweek', 'ID294'
"Muppet Reading & Phonics", 'newsweek', 'ID295'
"Muppet Reading & Phonics II", 'newsweek', 'ID296'
"Music Ace", 'newsweek', 'musicace'
"My Personal Tutor: Preschool to First Grade", 'newsweek', 'ID297'
"Mystery Math Island", 'newsweek', 'ID298'
"NFL Math", 'newsweek', 'ID299'
"NFL Math: Second Edition", 'newsweek', 'ID300'
"Nick Jr. Play Math!", 'newsweek', 'ID301'
"Noah's Ark", 'newsweek', 'ID302'
"Ocean Voyager", 'newsweek', 'ID303'
"One Small Square: Backyard", 'newsweek', 'ID304'
"One Small Square: Seashore", 'newsweek', 'ID305'
"Operation Neptune", 'newsweek', 'ID306'
"Oval Office", 'newsweek', 'ID307'
"Ozzie's Science", 'newsweek', 'ID308'
"Paul Cezanne: Portrait of My World", 'newsweek', 'ID309'
"Peter Rabbit's Math Garden", 'newsweek', 'ID310'
"Peter and the Wolf", 'newsweek', 'ID311'
"Phonics Adventure", 'newsweek', 'ID312'
"Piano Discovery System", 'newsweek', 'ID313'
"Planetary Taxi", 'newsweek', 'ID314'
"Pok the Little \"Artiste\"", 'newsweek', 'ID315'
"PowerActive Math", 'newsweek', 'ID316'
"PowerActive Words", 'newsweek', 'ID317'
"Prehistoric Animals with Professor ROM", 'newsweek', 'ID318'
"Radar Rooster's Claws for Alarm: A Lesson in Fire Safety", 'newsweek', 'ID319'
"Rainforest Explorer", 'newsweek', 'ID320'
"Read, Write & Type", 'newsweek', 'ID321'
"Reader Rabbit 1", 'newsweek', 'ID322'
"Reader Rabbit's Toddler", 'newsweek', 'ID323'
"Real World Math: Adventures in Flight", 'newsweek', 'ID324'
"Road Construction Ahead", 'newsweek', 'ID325'
"Rookie Reporter", 'newsweek', 'ID326'
"Safety Monkey", 'newsweek', 'ID327'
"Schoolhouse Rock: Grammar Rock", 'newsweek', 'ID328'
"Schoolhouse Rock: 1st & 2nd Grade Essentials", 'newsweek', 'ID329'
"Schoolhouse Rock: America Rock", 'newsweek', 'ID330'
"Science Blaster Jr.", 'newsweek', 'ID331'
"Scientific American Library: Illusion", 'newsweek', 'ID332'
"Scooter's Magic Castle", 'newsweek', 'ID333'
"Sesame Street Learning Series: Get Set for Kindergarten Deluxe", 'newsweek', 'ID334'
"Sesame Street Letters", 'newsweek', 'ID335'
"Sierra's School House: English", 'newsweek', 'ID336'
"Sierra's School House: Math", 'newsweek', 'ID337'
"Sierra's School House: Science", 'newsweek', 'ID338'
"SimuWeb", 'newsweek', 'ID339'
"Slam Dunk Typing", 'newsweek', 'ID340'
"Sonic's Schoolhouse", 'newsweek', 'ID341'
"Spanish Your Way 2.0", 'newsweek', 'ID342'
"Speak French", 'newsweek', 'ID343'
"Speak German", 'newsweek', 'ID344'
"Speak Spanish", 'newsweek', 'ID345'
"Spelling Blizzard", 'newsweek', 'ID346'
"Stickybear's Math Splash", 'newsweek', 'ID347'
"Tackle English", 'newsweek', 'ID348'
"The Adventure Bible Handbook: The Rescue", 'newsweek', 'ID349'
"The Jolly Post Office", 'newsweek', 'ID350'
"The Mystery of Magritte", 'newsweek', 'ID351'
"The Silk Road", 'newsweek', 'ID352'
"The Universe According to Virgil Reality", 'newsweek', 'ID353'
"Time Crusaders", 'newsweek', 'ID354'
"TimeTown", 'newsweek', 'ID355'
"Top Secret Decoder", 'newsweek', 'ID356'
"Totally Techie World of Young Dilbert, Hi-Tech Hijinks", 'newsweek', 'ID357'
"Triple Play Plus", 'newsweek', 'ID358'
"Trivia Munchers Deluxe", 'newsweek', 'ID359'
"Trudy's Time & Place House", 'newsweek', 'ID360'
"Turbo Math Facts 3.0", 'newsweek', 'ID361'
"Twelve Roads to Gettysburg", 'newsweek', 'ID362'
"Type to Learn", 'newsweek', 'ID363'
"Typing Instructor Deluxe CD", 'newsweek', 'ID364'
"Ultra Key 3.0", 'newsweek', 'ID365'
"Volcanoes: Life on the Edge", 'newsweek', 'ID366'
"Vote America", 'newsweek', 'ID367'
"Where's Waldo? Exploring Geography", 'newsweek', 'waldogeo'
"Word Adventure", 'newsweek', 'ID368'
"Word Munchers Deluxe", 'newsweek', 'ID369'
"Word Power for Kids", 'newsweek', 'ID370'
"World Book: Colors, Shapes & Size", 'newsweek', 'ID371'
"World Discovery Deluxe", 'newsweek', 'ID372'
"You Can Be a Woman Engineer", 'newsweek', 'ID373'
"Your Interactive Pet Dinosaur", 'newsweek', 'ID374'
"Zootopia", 'newsweek', 'ID375'
"Zurk's Alaskan Trek 1.1", 'newsweek', 'zurkalaska'
"Zurk's Learning Safari", 'newsweek', 'zurksafari'
"A to Zap!", 'newsweek', 'ID376'
"Alphabonk Farm", 'newsweek', 'ID377'
"Amazing World of Busy Kids", 'newsweek', 'ID378'
"Animation Hangman", 'newsweek', 'ID379'
"Basic Math Skills", 'newsweek', 'ID380'
"Brainstorm!", 'newsweek', 'ID381'
"Bug Explorers", 'newsweek', 'ID382'
"Bumptz Science Carnival", 'newsweek', 'ID383'
"Catz, Your Computer Petz", 'newsweek', 'catz'
"Chess Kids", 'newsweek', 'ID384'
"Chessmaster 5000", 'newsweek', 'ID385'
"Crayon Factory", 'newsweek', 'ID386'
"Crossword Studio", 'newsweek', 'ID387'
"Curious George Comes Home", 'newsweek', 'ID388'
"Darby My Dalmatian", 'newsweek', 'ID389'
"Dinosaur Kids", 'newsweek', 'ID390'
"Disney's Activity Center, The Lion King", 'newsweek', 'ID391'
"Disney's Activity Center, Toy Story", 'newsweek', 'ID392'
"Disney's Aladdin Activity Center", 'newsweek', 'ID393'
"Disney's Ready for Math with Pooh", 'newsweek', 'ID394'
"Dracula's Secret", 'newsweek', 'ID395'
"DragonHeart Medieval Creativity Center", 'newsweek', 'ID396'
"Extreme Chess", 'newsweek', 'ID397'
"Fisher-Price 1-2-3's", 'newsweek', 'ID398'
"Fisher-Price Dream Doll House", 'newsweek', 'ID399'
"Fisher-Price Ready for PreSchool", 'newsweek', 'ID400'
"Franklin Learns Math", 'newsweek', 'ID401'
"Franklin's Activity Center", 'newsweek', 'ID402'
"Freddi Fish 2: The Case of the Haunted Schoolhouse", 'newsweek', 'freddifish2'
"Fun Pack", 'newsweek', 'ID403'
"Geometry Blaster", 'newsweek', 'ID404'
"GigaMath Playground", 'newsweek', 'ID405'
"Gold Medal Math", 'newsweek', 'ID406'
"Hanna-Barbera Cartoon Carnival", 'newsweek', 'ID407'
"How Many Bugs in a Box?", 'newsweek', 'ID408'
"How Things Work in Busytown", 'newsweek', 'ID409'
"I Spy", 'newsweek', 'ID410'
"Incredible Machine", 'newsweek', 'incrediblemachine'
"Incredible Toon Machine", 'newsweek', 'ID411'
"James Discovers Math", 'newsweek', 'ID412'
"Jigsaw Power", 'newsweek', 'ID413'
"Jumpstart Kindergarten", 'newsweek', 'ID414'
"Junior GigaMath Playground", 'newsweek', 'ID415'
"Kid Smarts", 'newsweek', 'ID416'
"Kid Vid Grid", 'newsweek', 'ID417'
"Lemmings Paintball", 'newsweek', 'lemmings'
"Let's Start Learning", 'newsweek', 'ID418'
"Logical Journey of the Zoombinis", 'newsweek', 'ID419'
"Lost Mind of Dr. Brain", 'newsweek', 'ID420'
"Madeline and the Magnificent Puppet Show", 'newsweek', 'ID421'
"Madeline: European Adventure", 'newsweek', 'ID422'
"Major League Math 2nd Edition", 'newsweek', 'ID423'
"Mario's FUNdamentals", 'newsweek', 'ID424'
"Marty and the Trouble with Cheese", 'newsweek', 'martycheese'
"Math Workshop", 'newsweek', 'ID425'
"Math for the Real World", 'newsweek', 'ID426'
"McGee School Days", 'newsweek', 'ID427'
"Merriam-Webster's Word Crazy", 'newsweek', 'ID428'
"Mighty Math Carnival Countdown", 'newsweek', 'ID429'
"Mighty Math Number Heroes", 'newsweek', 'ID430'
"Milkcap Mazes", 'newsweek', 'ID431'
"Millie's Math House", 'newsweek', 'ID432'
"Mixed-up Mother Goose", 'newsweek', 'ID433'
"Mooky Takes Manhattan", 'newsweek', 'ID434'
"Mooky-Oke", 'newsweek', 'ID435'
"Mother Goose's Farm 4 Learning", 'newsweek', 'ID436'
"Mud Pies", 'newsweek', 'ID437'
"My Favorite Monster", 'newsweek', 'ID438'
"My Make Believe Castle", 'newsweek', 'ID439'
"My Very First Software", 'newsweek', 'ID440'
"Number Maze Challenge", 'newsweek', 'ID441'
"Ozzie's Travels Destination: Japan", 'newsweek', 'ID442'
"Ozzie's Travels Destination: Mexico", 'newsweek', 'ID443'
"Ozzie's World Deluxe Edition", 'newsweek', 'ID444'
"Pajama Sam", 'newsweek', 'pajamasam'
"Pajama Sam's SockWorks", 'newsweek', 'ID445'
"Pantsylvania", 'newsweek', 'ID446'
"Playground of Friends", 'newsweek', 'ID447'
"Playskool Puzzles", 'newsweek', 'ID448'
